acc,vacc,loss
0.735807836,0.729166687,0.267552704
0.736899555,0.736111104,0.246935248
0.731441021,0.732638896,0.223487154
0.73253274,0.739583313,0.24359037
0.737991273,0.736111104,0.213319629
0.734913766,0.739583313,0.275481641
0.735807836,0.739583313,0.217350706
0.737991273,0.722222209,0.197604626
0.74126637,0.756944418,0.15888001
0.734716177,0.739583313,0.18287614
0.733624458,0.75,0.19822295
0.737991273,0.725694418,0.172295853
0.739082992,0.746527791,0.153230518
0.737991273,0.736111104,0.159983888
0.737991273,0.75,0.170233294
0.735807836,0.715277791,0.174936131
0.733624458,0.746527791,0.132690176
0.735807836,0.729166687,0.137348831
0.74126637,0.756944418,0.165266305
0.734716177,0.715277791,0.162436247
0.73253274,0.736111104,0.162056282
0.736899555,0.736111104,0.168669373
0.74126637,0.75,0.144421086
0.736899555,0.732638896,0.137401462
0.735807836,0.746527791,0.165549219
0.740174651,0.746527791,0.162223801
0.734716177,0.715277791,0.156193927
0.734716177,0.739583313,0.15090242
0.739082992,0.732638896,0.151106685
0.733624458,0.788194418,0.137223378
0.737991273,0.722222209,0.131799459
0.735807836,0.715277791,0.167942882
0.733624458,0.732638896,0.129344597
0.737068951,0.729166687,0.154408112
0.737991273,0.736111104,0.141445667
0.736899555,0.732638896,0.136749581
0.739082992,0.746527791,0.142362371
0.735807836,0.739583313,0.107298903
0.737991273,0.739583313,0.15100956
0.740174651,0.753472209,0.124671437
0.733624458,0.753472209,0.127527848
0.733624458,0.729166687,0.116170011
0.739082992,0.756944418,0.118725009
0.735807836,0.743055582,0.131232932
0.735807836,0.729166687,0.132227227
0.733624458,0.743055582,0.141219214
0.730349362,0.729166687,0.127661452
0.736899555,0.746527791,0.126902387
0.73253274,0.732638896,0.147359312
0.735807836,0.743055582,0.120462701
